timestamp,tel_pezzi_prodotti,tel_tempo_attivo,tel_tempo_fermo,tel_velocità_nominale,disponibilità,efficienza
2020-04-16 05:00:00,1481.5482077289219,3218,382,0.46462020000000764,0.8939,0.9909
2020-04-16 06:00:00,850.9003838584293,1869,1731,0.46462020000000764,0.5192,0.9799
2020-04-16 07:00:00,1328.7648846625523,2842,758,0.46462020000000764,0.7894,1.0063
2020-04-16 08:00:00,1224.4930259445837,2603,997,0.46462020000000764,0.7231,1.0125
2020-04-16 09:00:00,1090.1110927618604,2308,1292,0.46462020000000764,0.6411,1.0166
2020-04-16 10:00:00,1274.6772298756307,2692,908,0.46462020000000764,0.7478,1.0191
2020-04-16 11:00:00,652.9514612437096,1398,2198,0.46462020000000764,0.3888,1.0053
2020-04-16 12:00:00,1228.3962212593499,2604,996,0.46462020000000764,0.7233,1.0153
2020-04-16 13:00:00,825.808007766988,1765,1835,0.46462020000000764,0.4903,1.007
2020-04-16 14:00:00,1435.2676358556298,3152,448,0.46462020000000764,0.8756,0.9801
2020-04-16 15:00:00,1269.102205633811,2783,817,0.46462020000000764,0.7731,0.9815
2020-04-16 16:00:00,917.2553732625416,2019,1581,0.46462020000000764,0.5608,0.9778
2020-04-16 17:00:00,146.6492213378939,340,3260,0.46462020000000764,0.0944,0.9283
2020-04-17 04:00:00,275.4553590092703,633,2963,0.46462020000000764,0.176,0.9366
2020-04-17 05:00:00,705.9241297670776,1560,2054,0.46462020000000764,0.4317,0.9739
2020-04-17 06:00:00,0.0,2,3543,0.4646202000000076,0.0006,0.0
2020-04-17 07:00:00,830.2688960002182,1808,1795,0.46462020000000764,0.5018,0.9884
2020-04-17 08:00:00,1156.465887025484,2484,1128,0.46462020000000764,0.6877,1.002
2020-04-17 09:00:00,1550.1327329171534,3302,317,0.46462020000000764,0.9124,1.0104
2020-04-17 10:00:00,1144.1993143854277,2541,1059,0.46462020000000764,0.7058,0.9692
2020-04-17 11:00:00,656.2978650031991,1498,2101,0.46462020000000764,0.4162,0.943
2020-04-17 12:00:00,1288.0611955118811,2888,714,0.46462020000000764,0.8018,0.9599
2020-04-17 13:00:00,1530.0606106101268,3428,177,0.46462020000000764,0.9509,0.9607
2020-04-17 14:00:00,1426.9041144980756,3202,402,0.46462020000000764,0.8885,0.9591
2020-04-17 15:00:00,1426.9041191442782,3205,395,0.46462020000000764,0.8903,0.9582
2020-04-17 16:00:00,999.2231996801407,2251,1349,0.46462020000000764,0.6253,0.9554
2020-04-17 17:00:00,920.0436659453877,2068,1533,0.4646202000000076,0.5743,0.9575
2020-04-20 04:00:00,78.06414325162197,225,3371,0.46462020000000764,0.0626,0.7467
2020-04-20 05:00:00,351.2887863414598,860,2740,0.46462020000000764,0.2389,0.8792
2020-04-20 06:00:00,922.2737081655298,2119,1481,0.46462020000000764,0.5886,0.9368
