timestamp,allarme_id,allarme_bloccante,allarme_durata_media,allarme_tf_medio,allarme_numero
2020-04-09 22:00:00,66,True,10.0,14.0,1
2020-04-09 22:00:00,67,True,12.5,13.5,2
2020-04-09 22:00:00,68,True,4.0,5.0,1
2020-04-09 22:00:00,69,True,22.0,23.0,1
2020-04-09 22:00:00,70,True,22.0,23.0,1
2020-04-09 22:00:00,71,True,22.0,23.0,1
2020-04-09 22:00:00,72,True,22.0,23.0,1
2020-04-09 22:00:00,102,True,123.0,159.0,1
2020-04-09 22:00:00,107,True,45.5,45.5,4
2020-04-09 22:00:00,110,,44.5,-1.0,4
2020-04-09 22:00:00,124,,97.0,-1.0,1
2020-04-09 22:00:00,145,True,7.0,8.0,1
2020-04-09 22:00:00,149,,6.0,-1.0,1
2020-04-09 23:00:00,0,,340.0,-1.0,10
2020-04-09 23:00:00,2,,11.4,-1.0,5
2020-04-09 23:00:00,4,True,47.0,49.0,1
2020-04-09 23:00:00,24,,43.0,-1.0,1
2020-04-09 23:00:00,63,True,162.0,163.0,1
2020-04-09 23:00:00,64,,16.0,-1.0,1
2020-04-09 23:00:00,106,True,3.0,20.0,1
2020-04-09 23:00:00,107,True,7.5,7.5,2
2020-04-09 23:00:00,110,,13.0,-1.0,1
2020-04-09 23:00:00,150,,29.0,-1.0,1
2020-04-10 00:00:00,0,,137.28571428571428,-1.0,7
2020-04-10 00:00:00,2,,20.666666666666668,-1.0,3
2020-04-10 00:00:00,4,,72.0,-1.0,2
2020-04-10 00:00:00,22,,125.0,-1.0,1
2020-04-10 00:00:00,69,True,2.0,2.0,1
2020-04-10 00:00:00,70,True,2.0,2.0,1
2020-04-10 00:00:00,71,True,2.0,2.0,1
2020-04-10 00:00:00,72,True,2.0,2.0,1
2020-04-10 00:00:00,102,True,161.0,348.0,1
2020-04-10 00:00:00,127,,77.0,-1.0,1
2020-04-10 00:00:00,149,,52.333333333333336,-1.0,3
2020-04-10 04:00:00,0,,93.41176470588235,-1.0,17
2020-04-10 04:00:00,2,,105.66666666666667,-1.0,6
2020-04-10 04:00:00,4,,209.25,-1.0,4
2020-04-10 04:00:00,11,,1130.0,-1.0,1
2020-04-10 04:00:00,12,,1130.0,-1.0,1
2020-04-10 04:00:00,13,,1130.0,-1.0,1
2020-04-10 04:00:00,14,,1130.0,-1.0,1
2020-04-10 04:00:00,40,,1378.0,-1.0,1
2020-04-10 04:00:00,41,,1378.0,-1.0,1
2020-04-10 04:00:00,42,,1378.0,-1.0,1
2020-04-10 04:00:00,43,,1378.0,-1.0,1
2020-04-10 04:00:00,64,,10.0,-1.0,1
2020-04-10 04:00:00,67,,11.0,-1.0,1
2020-04-10 04:00:00,69,True,2.0,3.0,1
2020-04-10 04:00:00,70,True,2.0,3.0,1
2020-04-10 04:00:00,71,True,2.0,3.0,1
2020-04-10 04:00:00,72,True,2.0,3.0,1
2020-04-10 04:00:00,85,,1.0,-1.0,1
2020-04-10 04:00:00,92,True,11.2,11.6,5
2020-04-10 04:00:00,107,,607.0,-1.0,1
2020-04-10 04:00:00,107,True,181.0,193.0,1
2020-04-10 04:00:00,110,,393.0,-1.0,2
2020-04-10 04:00:00,142,,1378.0,-1.0,1
2020-04-10 04:00:00,143,,1378.0,-1.0,1
2020-04-10 04:00:00,144,,1130.0,-1.0,1
2020-04-10 04:00:00,145,,1130.0,-1.0,1
2020-04-10 04:00:00,145,True,18.0,19.0,2
2020-04-10 04:00:00,149,,5.0,-1.0,1
2020-04-10 05:00:00,0,,249.15384615384616,-1.0,13
2020-04-10 05:00:00,2,,21.0,-1.0,2
2020-04-10 05:00:00,4,,16.333333333333332,-1.0,3
2020-04-10 05:00:00,4,True,4.0,5.0,1
2020-04-10 05:00:00,40,,51.0,-1.0,1
2020-04-10 05:00:00,40,True,32.0,60.5,2
2020-04-10 05:00:00,43,,24.0,-1.0,1
2020-04-10 05:00:00,49,,43.0,-1.0,1
2020-04-10 05:00:00,104,True,6.0,50.0,1
2020-04-10 05:00:00,107,True,24.666666666666668,24.666666666666668,6
2020-04-10 05:00:00,110,,35.5,-1.0,4
2020-04-10 05:00:00,149,,3.0,-1.0,1
2020-04-10 06:00:00,0,,191.6875,-1.0,16
2020-04-10 06:00:00,2,,27.818181818181817,-1.0,11
2020-04-10 06:00:00,3,,40.0,-1.0,1
2020-04-10 06:00:00,4,,9.333333333333334,-1.0,3
2020-04-10 06:00:00,66,True,24.0,25.0,1
2020-04-10 06:00:00,67,,24.0,-1.0,1
2020-04-10 06:00:00,67,True,65.5,79.5,2
2020-04-10 06:00:00,68,,9.0,-1.0,1
2020-04-10 06:00:00,85,,1.0,-1.0,1
2020-04-10 06:00:00,107,,21.0,-1.0,1
2020-04-10 06:00:00,110,,20.0,-1.0,1
2020-04-10 06:00:00,149,,17.333333333333332,-1.0,6
2020-04-10 07:00:00,0,,372.25,-1.0,8
2020-04-10 07:00:00,2,,26.333333333333332,-1.0,3
2020-04-10 07:00:00,4,,16.5,-1.0,2
2020-04-10 07:00:00,4,True,120.5,169.0,2
2020-04-10 07:00:00,22,,146.0,-1.0,1
2020-04-10 07:00:00,24,,91.0,-1.0,1
2020-04-10 07:00:00,85,,1.0,-1.0,1
2020-04-10 07:00:00,87,,4.0,-1.0,2
2020-04-10 07:00:00,107,,39.0,-1.0,1
2020-04-10 07:00:00,110,,38.0,-1.0,1
2020-04-10 07:00:00,149,,10.0,-1.0,2
2020-04-10 08:00:00,0,,141.8,-1.0,20
2020-04-10 08:00:00,2,,18.333333333333332,-1.0,9
2020-04-10 08:00:00,3,,1.0,-1.0,1
2020-04-10 08:00:00,4,,5.0,-1.0,3
2020-04-10 08:00:00,4,True,101.0,105.0,1
2020-04-10 08:00:00,7,True,6.0,6.0,1
2020-04-10 08:00:00,8,True,6.0,6.0,1
2020-04-10 08:00:00,67,True,16.0,17.0,1
2020-04-10 08:00:00,107,,26.5,-1.0,2
2020-04-10 08:00:00,107,True,81.0,81.0,5
2020-04-10 08:00:00,110,,112.75,-1.0,4
2020-04-10 08:00:00,127,,101.0,-1.0,1
2020-04-10 08:00:00,149,,17.875,-1.0,8
2020-04-10 08:00:00,150,,50.5,-1.0,2
2020-04-10 08:00:00,154,True,6.0,6.0,1
2020-04-10 08:00:00,155,True,6.0,6.0,1
2020-04-10 09:00:00,0,,193.84615384615384,-1.0,13
2020-04-10 09:00:00,2,,205.5,-1.0,4
2020-04-10 09:00:00,4,,6.333333333333333,-1.0,6
2020-04-10 09:00:00,4,True,179.0,290.0,1
2020-04-10 09:00:00,66,True,9.0,9.0,1
2020-04-10 09:00:00,67,True,13.0,13.333333333333334,3
2020-04-10 09:00:00,68,True,181.0,291.0,1
2020-04-10 09:00:00,83,True,28.0,30.0,1
2020-04-10 09:00:00,85,,9.0,-1.0,2
2020-04-10 09:00:00,95,True,787.0,790.0,1
2020-04-10 09:00:00,97,True,396.5,398.5,2
2020-04-10 09:00:00,107,,41.5,-1.0,2
2020-04-10 09:00:00,110,,81.0,-1.0,1
2020-04-10 09:00:00,149,,388.0,-1.0,2
2020-04-10 10:00:00,0,,293.3,-1.0,10
2020-04-10 10:00:00,2,,11.666666666666666,-1.0,6
2020-04-10 10:00:00,4,,6.0,-1.0,1
2020-04-10 10:00:00,67,True,17.0,17.0,1
2020-04-10 10:00:00,68,True,3.0,3.0,1
2020-04-10 10:00:00,107,True,26.0,26.0,1
2020-04-10 10:00:00,110,,25.0,-1.0,1
2020-04-10 10:00:00,149,,4.5,-1.0,2
2020-04-10 11:00:00,0,,96.84615384615384,-1.0,13
2020-04-10 11:00:00,2,,38.5,-1.0,6
2020-04-10 11:00:00,4,,523.0,-1.0,4
2020-04-10 11:00:00,4,True,12.0,14.0,1
2020-04-10 11:00:00,24,,2035.0,-1.0,1
2020-04-10 11:00:00,38,,2.0,-1.0,1
2020-04-10 11:00:00,67,True,20.0,20.0,1
2020-04-10 11:00:00,68,True,2.0,3.0,1
2020-04-10 11:00:00,69,True,71.0,71.0,1
2020-04-10 11:00:00,70,True,71.0,71.0,1
2020-04-10 11:00:00,71,True,71.0,71.0,1
2020-04-10 11:00:00,72,True,71.0,71.0,1
2020-04-10 11:00:00,102,True,2107.0,2109.0,1
2020-04-10 11:00:00,149,,94.5,-1.0,4
2020-04-10 12:00:00,0,,105.76190476190476,-1.0,21
